lat;long;text;invader;code;artist;address;address2;yena2
48.8535370000; 2.3803930000; Space Invader PA_0886, 43 rue Saint-Bernard; Space Invader PA_0886;PA_0886; PA;, 43 rue Saint-Bernard; 43 rue Saint-Bernard;
48.8895240000; 2.3713110000; Space Invader PA_0883, 3 rue Curial; Space Invader PA_0883;PA_0883; PA;, 3 rue Curial; 3 rue Curial;
48.8605150000; 2.3545320000; Space Invader PA_0189, 3 rue Geoffroy Langevin; Space Invader PA_0189;PA_0189; PA;, 3 rue Geoffroy Langevin; 3 rue Geoffroy Langevin;
48.8544140000; 2.3731130000; Space Invader PA_0117, 31 passage Thiéré sur le trottoir; Space Invader PA_0117;PA_0117; PA;, 31 passage Thiéré sur le trottoir; 31 passage Thiéré sur le trottoir;
48.8809490000; 2.3120290000; Space Invader PA_0867, 30 boulevard de Courcelles; Space Invader PA_0867;PA_0867; PA;, 30 boulevard de Courcelles; 30 boulevard de Courcelles;
48.8507800000; 2.3785800000; Space Invader PA_0961, 2 rue Trousseau; Space Invader PA_0961;PA_0961; PA;, 2 rue Trousseau; 2 rue Trousseau;
48.8914200000; 2.3612960000; Space Invader PA_0989, 2 rue de l'Évangile; Space Invader PA_0989;PA_0989; PA;, 2 rue de l'Évangile; 2 rue de l'Évangile;
48.8499960000; 2.2796600000; Space Invader PA_0969, Statue de la Liberté; Space Invader PA_0969;PA_0969; PA;, Statue de la Liberté; Statue de la Liberté;
48.8660600000; 2.3518050000; Space Invader PA_0977, passage Basfour; Space Invader PA_0977;PA_0977; PA;, passage Basfour; passage Basfour;
48.8451180000; 2.3832710000; Space Invader PA_0981, place du Colonel Bourgouin; Space Invader PA_0981;PA_0981; PA;, place du Colonel Bourgouin; place du Colonel Bourgouin;
48.8682330000; 2.3436690000; Space Invader PA_0976, 130 rue Montmartre; Space Invader PA_0976;PA_0976; PA;, 130 rue Montmartre; 130 rue Montmartre;
48.8301780000; 2.3349760000; Space Invader PA_0971, 1 rue du Saint-Gothard; Space Invader PA_0971;PA_0971; PA;, 1 rue du Saint-Gothard; 1 rue du Saint-Gothard;
48.8672000000; 2.3532920000; Space Invader PA_0973, entrée du square Emile Chautemps; Space Invader PA_0973;PA_0973; PA;, entrée du square Emile Chautemps; entrée du square Emile Chautemps;
48.8672000000; 2.3532920000; Space Invader PA_0974, entrée du square Emile Chautemps; Space Invader PA_0974;PA_0974; PA;, entrée du square Emile Chautemps; entrée du square Emile Chautemps;
48.8672000000; 2.3532920000; Space Invader PA_0975, entrée du square Emile Chautemps; Space Invader PA_0975;PA_0975; PA;, entrée du square Emile Chautemps; entrée du square Emile Chautemps;
48.8637390000; 2.3464750000; Space Invader PA_0978, 28 rue Montorgueil; Space Invader PA_0978;PA_0978; PA;, 28 rue Montorgueil; 28 rue Montorgueil;
48.8844790000; 2.3603470000; Space Invader PA_0990, métro La Chapelle; Space Invader PA_0990;PA_0990; PA;, métro La Chapelle; métro La Chapelle;
48.8587280000; 2.3327790000; Space Invader PA_0965, pont du Carrousel; Space Invader PA_0965;PA_0965; PA;, pont du Carrousel; pont du Carrousel;
48.8768260000; 2.4066050000; Space Invader PA_0962, métro Porte des Lilas; Space Invader PA_0962;PA_0962; PA;, métro Porte des Lilas; métro Porte des Lilas;
48.8546780000; 2.2891070000; Space Invader PA_0967, 105 quai Branly; Space Invader PA_0967;PA_0967; PA;, 105 quai Branly; 105 quai Branly;
48.8549470000; 2.3861290000; Space Invader PA_1039, 1 impasse Delaunay; Space Invader PA_1039;PA_1039; PA;, 1 impasse Delaunay; 1 impasse Delaunay;
48.8717240000; 2.3647040000; Space Invader PA_0362, en face de Chez Prune; Space Invader PA_0362;PA_0362; PA;, en face de Chez Prune; en face de Chez Prune;
48.8559040000; 2.3752630000; Space Invader PA_0837, 53bis rue de la Roquette; Space Invader PA_0837;PA_0837; PA;, 53bis rue de la Roquette; 53bis rue de la Roquette;
48.8751810000; 2.3558050000; Space Invader PA_0947, 105 rue du Faubourg Saint-Denis; Space Invader PA_0947;PA_0947; PA;, 105 rue du Faubourg Saint-Denis; 105 rue du Faubourg Saint-Denis;
48.8697630000; 2.3515820000; Space Invader PA_0859, 1 rue de la Lune; Space Invader PA_0859;PA_0859; PA;, 1 rue de la Lune; 1 rue de la Lune;
48.8592640000; 2.3547780000; Space Invader PA_0953, 9 rue du Plâtre; Space Invader PA_0953;PA_0953; PA;, 9 rue du Plâtre; 9 rue du Plâtre;
48.8385910000; 2.3757020000; Space Invader PA_0921, pont de Bercy/quai de Bercy; Space Invader PA_0921;PA_0921; PA;, pont de Bercy/quai de Bercy; pont de Bercy/quai de Bercy;
48.8577140000; 2.3583700000; Space Invader PA_0504, 52 rue des Rosiers; Space Invader PA_0504;PA_0504; PA;, 52 rue des Rosiers; 52 rue des Rosiers;
48.8718090000; 2.3005410000; Space Invader PA_0254, 101 avenue des Champs-Élysées; Space Invader PA_0254;PA_0254; PA;, 101 avenue des Champs-Élysées; 101 avenue des Champs-Élysées;
48.8397930000; 2.3831410000; Space Invader PA_0980, sous le pont du boulevard de Bercy; Space Invader PA_0980;PA_0980; PA;, sous le pont du boulevard de Bercy; sous le pont du boulevard de Bercy;
48.8610850000; 2.3669500000; Space Invader PA_1033, 1 boulevard des Filles du Calvaire; Space Invader PA_1033;PA_1033; PA;, 1 boulevard des Filles du Calvaire; 1 boulevard des Filles du Calvaire;
48.8742100000; 2.3101600000; Space Invader PA_0844  PA_0918, 20 rue de Courcelles; Space Invader PA_0844;PA_0844; PA;  PA_0918, 20 rue de Courcelles;  PA_0918, 20 rue de Courcelles;X
48.8432460000; 2.4060680000; Space Invader PA_0809, 7 rue Lasson; Space Invader PA_0809;PA_0809; PA;, 7 rue Lasson; 7 rue Lasson;
48.8750670000; 2.3405060000; Space Invader PA_0755, 6 rue de la Victoire; Space Invader PA_0755;PA_0755; PA;, 6 rue de la Victoire; 6 rue de la Victoire;
48.8560360000; 2.3713540000; Space Invader PA_0879, 22 rue Saint-Sabin; Space Invader PA_0879;PA_0879; PA;, 22 rue Saint-Sabin; 22 rue Saint-Sabin;
48.8582240000; 2.3643990000; Space Invader PA_1032, 51 rue de Turenne; Space Invader PA_1032;PA_1032; PA;, 51 rue de Turenne; 51 rue de Turenne;
48.8586940000; 2.3627510000; Space Invader PA_0878, 17 rue Payenne; Space Invader PA_0878;PA_0878; PA;, 17 rue Payenne; 17 rue Payenne;
48.8492090000; 2.2976380000; Space Invader PA_0597, métro La Motte-Picquet-Grenelle; Space Invader PA_0597;PA_0597; PA;, métro La Motte-Picquet-Grenelle; métro La Motte-Picquet-Grenelle;
48.8581900000; 2.3282700000; Space Invader PA_0881, 20 rue du Bac; Space Invader PA_0881;PA_0881; PA;, 20 rue du Bac; 20 rue du Bac;
48.8662940000; 2.3698650000; Space Invader PA_0945, 81 rue de la Folie Méricourt; Space Invader PA_0945;PA_0945; PA;, 81 rue de la Folie Méricourt; 81 rue de la Folie Méricourt;
48.8773280000; 2.2947200000; Space Invader PA_0885, 36 rue Brey; Space Invader PA_0885;PA_0885; PA;, 36 rue Brey; 36 rue Brey;
48.8732640000; 2.3094650000; Space Invader PA_0862, 127 rue du Faubourg Saint-Honoré; Space Invader PA_0862;PA_0862; PA;, 127 rue du Faubourg Saint-Honoré; 127 rue du Faubourg Saint-Honoré;
48.8687010000; 2.3383900000; Space Invader PA_1008, 75 rue de Richelieu; Space Invader PA_1008;PA_1008; PA;, 75 rue de Richelieu; 75 rue de Richelieu;
48.8341470000; 2.3320200000; Space Invader PA_0939, métro Denfert-Rochereau; Space Invader PA_0939;PA_0939; PA;, métro Denfert-Rochereau; métro Denfert-Rochereau;
48.8788210000; 2.3882890000; Space Invader PA_1017, 86 rue de la Villette; Space Invader PA_1017;PA_1017; PA;, 86 rue de la Villette; 86 rue de la Villette;
48.8474760000; 2.3015510000; Space Invader PA_0935, 2 rue Cambronne; Space Invader PA_0935;PA_0935; PA;, 2 rue Cambronne; 2 rue Cambronne;
48.8418110000; 2.3033520000; Space Invader PA_0941, 103 rue Cambronne; Space Invader PA_0941;PA_0941; PA;, 103 rue Cambronne; 103 rue Cambronne;
48.8740870000; 2.3473490000; Space Invader PA_0931, 2 rue Ambroise Thomas; Space Invader PA_0931;PA_0931; PA;, 2 rue Ambroise Thomas; 2 rue Ambroise Thomas;
48.8611900000; 2.3442330000; Space Invader PA_1034, 48 rue Saint-Honoré; Space Invader PA_1034;PA_1034; PA;, 48 rue Saint-Honoré; 48 rue Saint-Honoré;
48.8788070000; 2.3369780000; Space Invader PA_0858, 1 rue la Bruyère; Space Invader PA_0858;PA_0858; PA;, 1 rue la Bruyère; 1 rue la Bruyère;
48.8734630000; 2.3526220000; Space Invader PA_1011, 1 rue Martel; Space Invader PA_1011;PA_1011; PA;, 1 rue Martel; 1 rue Martel;
48.8649810000; 2.3484230000; Space Invader PA_0841, 4 rue Marie Stuart; Space Invader PA_0841;PA_0841; PA;, 4 rue Marie Stuart; 4 rue Marie Stuart;
48.8899510000; 2.3601350000; Space Invader PA_1018, place Paul Eluard; Space Invader PA_1018;PA_1018; PA;, place Paul Eluard; place Paul Eluard;
48.8976800000; 2.3860050000; Space Invader PA_0041, Porte de la Villette; Space Invader PA_0041;PA_0041; PA;, Porte de la Villette; Porte de la Villette;
48.8516740000; 2.3779000000; Space Invader PA_0133, 7 passage de la Main d'Or; Space Invader PA_0133;PA_0133; PA;, 7 passage de la Main d'Or; 7 passage de la Main d'Or;
48.8694010000; 2.3420660000; Space Invader PA_0404, face au 2 place de la Bourse; Space Invader PA_0404;PA_0404; PA;, face au 2 place de la Bourse; face au 2 place de la Bourse;
48.8658800000; 2.3639100000; Space Invader PA_0955, 12 rue Béranger; Space Invader PA_0955;PA_0955; PA;, 12 rue Béranger; 12 rue Béranger;
48.8613300000; 2.3398420000; Space Invader PA_0860, 1 rue de l'Oratoire; Space Invader PA_0860;PA_0860; PA;, 1 rue de l'Oratoire; 1 rue de l'Oratoire;
48.8415570000; 2.3079940000; Space Invader PA_0847, métro Volontaires; Space Invader PA_0847;PA_0847; PA;, métro Volontaires; métro Volontaires;
48.8576290000; 2.3327970000; Space Invader PA_0121, 7 rue des Saints-Pères; Space Invader PA_0121;PA_0121; PA;, 7 rue des Saints-Pères; 7 rue des Saints-Pères;
48.8331810000; 2.3100770000; Space Invader PA_0934, 76 rue de Vouillé; Space Invader PA_0934;PA_0934; PA;, 76 rue de Vouillé; 76 rue de Vouillé;
48.8516000000; 2.3846660000; Space Invader PA_1014, 10 rue Paul Bert; Space Invader PA_1014;PA_1014; PA;, 10 rue Paul Bert; 10 rue Paul Bert;
48.8864370000; 2.3185600000; Space Invader PA_0995, place du Docteur Félix Lobligeois; Space Invader PA_0995;PA_0995; PA;, place du Docteur Félix Lobligeois; place du Docteur Félix Lobligeois;
48.8789900000; 2.3190000000; Space Invader PA_0735, 66 rue des Rochers; Space Invader PA_0735;PA_0735; PA;, 66 rue des Rochers; 66 rue des Rochers;
48.8807440000; 2.3286240000; Space Invader PA_0727, 51 rue de Clichy; Space Invader PA_0727;PA_0727; PA;, 51 rue de Clichy; 51 rue de Clichy;
48.8659660000; 2.4066420000; Space Invader PA_0983, rue Mondoville; Space Invader PA_0983;PA_0983; PA;, rue Mondoville; rue Mondoville;
48.8511050000; 2.2784000000; Space Invader PA_0761, 1 quai Louis Blériot; Space Invader PA_0761;PA_0761; PA;, 1 quai Louis Blériot; 1 quai Louis Blériot;
48.8835260000; 2.3234020000; Space Invader PA_0728, 18 rue Caroline; Space Invader PA_0728;PA_0728; PA;, 18 rue Caroline; 18 rue Caroline;
48.8518200000; 2.3244900000; Space Invader PA_0395, 14 rue Chomel; Space Invader PA_0395;PA_0395; PA;, 14 rue Chomel; 14 rue Chomel;
48.8333490000; 2.2895330000; Space Invader PA_0247, 1 rue Firmin Gillot; Space Invader PA_0247;PA_0247; PA;, 1 rue Firmin Gillot; 1 rue Firmin Gillot;
48.8710100000; 2.3532500000; Space Invader PA_0948, 33 rue du Faubourg Saint-Denis; Space Invader PA_0948;PA_0948; PA;, 33 rue du Faubourg Saint-Denis; 33 rue du Faubourg Saint-Denis;
48.8737250000; 2.3650620000; Space Invader PA_0853, 12 rue de la Grange aux Belles; Space Invader PA_0853;PA_0853; PA;, 12 rue de la Grange aux Belles; 12 rue de la Grange aux Belles;
48.8415440000; 2.3411980000; Space Invader PA_0557, 282 rue Saint-Jacques; Space Invader PA_0557;PA_0557; PA;, 282 rue Saint-Jacques; 282 rue Saint-Jacques;
48.8526300000; 2.3338600000; Space Invader PA_0802, 27 rue du Four; Space Invader PA_0802;PA_0802; PA;, 27 rue du Four; 27 rue du Four;
48.8734530000; 2.3404950000; Space Invader PA_1007, 11 rue Drouot; Space Invader PA_1007;PA_1007; PA;, 11 rue Drouot; 11 rue Drouot;
48.8522700000; 2.3601640000; Space Invader PA_0816, ancienne gare maritime Sully-Morland; Space Invader PA_0816;PA_0816; PA;, ancienne gare maritime Sully-Morland; ancienne gare maritime Sully-Morland;
48.8609510000; 2.3424100000; Space Invader PA_0819, 2 rue Bailleul; Space Invader PA_0819;PA_0819; PA;, 2 rue Bailleul; 2 rue Bailleul;
48.8375520000; 2.3740270000; Space Invader PA_0922, pont de Bercy/quai d'Austerlitz; Space Invader PA_0922;PA_0922; PA;, pont de Bercy/quai d'Austerlitz; pont de Bercy/quai d'Austerlitz;
48.8373960000; 2.3735230000; Space Invader PA_0220, métro Quai de la Gare; Space Invader PA_0220;PA_0220; PA;, métro Quai de la Gare; métro Quai de la Gare;
48.8349140000; 2.3682500000; Space Invader PA_0459, métro Chevaleret; Space Invader PA_0459;PA_0459; PA;, métro Chevaleret; métro Chevaleret;
48.8654950000; 2.3746380000; Space Invader PA_1047, 88ter avenue Parmentier; Space Invader PA_1047;PA_1047; PA;, 88ter avenue Parmentier; 88ter avenue Parmentier;
48.8812360000; 2.3315320000; Space Invader PA_0865, 53 rue Blanche; Space Invader PA_0865;PA_0865; PA;, 53 rue Blanche; 53 rue Blanche;
48.8724630000; 2.3098600000; Space Invader PA_0845, 73 rue La Boétie; Space Invader PA_0845;PA_0845; PA;, 73 rue La Boétie; 73 rue La Boétie;
48.8658300000; 2.3435000000; Space Invader PA_0800, 56bis rue du Louvre; Space Invader PA_0800;PA_0800; PA;, 56bis rue du Louvre; 56bis rue du Louvre;
48.8602200000; 2.3474880000; Space Invader PA_0720, 19 rue de la Ferronnerie; Space Invader PA_0720;PA_0720; PA;, 19 rue de la Ferronnerie; 19 rue de la Ferronnerie;
48.8707250000; 2.3548200000; Space Invader PA_0946, 1 rue de Metz; Space Invader PA_0946;PA_0946; PA;, 1 rue de Metz; 1 rue de Metz;
48.8815700000; 2.3659370000; Space Invader PA_0884, 205 rue La Fayette; Space Invader PA_0884;PA_0884; PA;, 205 rue La Fayette; 205 rue La Fayette;
48.8665030000; 2.3331210000; Space Invader PA_0842  PA_1040, 32 rue Saint-Roch; Space Invader PA_0842;PA_0842; PA;  PA_1040, 32 rue Saint-Roch;  PA_1040, 32 rue Saint-Roch;X
48.8259820000; 2.3571780000; Space Invader PA_1037, 84 avenue d'Italie; Space Invader PA_1037;PA_1037; PA;, 84 avenue d'Italie; 84 avenue d'Italie;
48.8785990000; 2.3374310000; Space Invader PA_0864, 32 place Saint-Georges; Space Invader PA_0864;PA_0864; PA;, 32 place Saint-Georges; 32 place Saint-Georges;
48.8843810000; 2.3560580000; Space Invader PA_0854, 1 rue de Tombouctou; Space Invader PA_0854;PA_0854; PA;, 1 rue de Tombouctou; 1 rue de Tombouctou;
48.8911600000; 2.3737070000; Space Invader PA_0889, 34 rue Mathis; Space Invader PA_0889;PA_0889; PA;, 34 rue Mathis; 34 rue Mathis;
48.8160890000; 2.3588900000; Space Invader PA_1044, échangeur porte d'Italie; Space Invader PA_1044;PA_1044; PA;, échangeur porte d'Italie; échangeur porte d'Italie;
48.8821340000; 2.3377510000; Space Invader PA_0900, place Pigalle; Space Invader PA_0900;PA_0900; PA;, place Pigalle; place Pigalle;
48.8731360000; 2.3451650000; Space Invader PA_0930, 8 rue de Trévise; Space Invader PA_0930;PA_0930; PA;, 8 rue de Trévise; 8 rue de Trévise;
48.8908520000; 2.3404730000; Space Invader PA_1022, 27 rue Francœoeur; Space Invader PA_1022;PA_1022; PA;, 27 rue Francœoeur; 27 rue Francœoeur;
48.8794290000; 2.3652260000; Space Invader PA_0275, 14 rue Pierre Dupont; Space Invader PA_0275;PA_0275; PA;, 14 rue Pierre Dupont; 14 rue Pierre Dupont;
48.8647510000; 2.3595750000; Space Invader PA_0846, 4 rue de Réaumur; Space Invader PA_0846;PA_0846; PA;, 4 rue de Réaumur; 4 rue de Réaumur;
48.8346560000; 2.3541710000; Space Invader PA_0069, 40 rue du Banquier; Space Invader PA_0069;PA_0069; PA;, 40 rue du Banquier; 40 rue du Banquier;
48.8639760000; 2.3501350000; Space Invader PA_0998, impasse des Peintres; Space Invader PA_0998;PA_0998; PA;, impasse des Peintres; impasse des Peintres;
48.8531800000; 2.3461640000; Space Invader PA_0873, rue du Chat qui Pèche; Space Invader PA_0873;PA_0873; PA;, rue du Chat qui Pèche; rue du Chat qui Pèche;
48.8574420000; 2.3180640000; Space Invader PA_0630, 30 rue de Martignac; Space Invader PA_0630;PA_0630; PA;, 30 rue de Martignac; 30 rue de Martignac;
48.8379350000; 2.2818670000; Space Invader PA_0595, 183 rue de Lourmel; Space Invader PA_0595;PA_0595; PA;, 183 rue de Lourmel; 183 rue de Lourmel;
48.8500600000; 2.3841560000; Space Invader PA_1024, 198 rue du Faubourg Saint-Antoine; Space Invader PA_1024;PA_1024; PA;, 198 rue du Faubourg Saint-Antoine; 198 rue du Faubourg Saint-Antoine;
48.8573810000; 2.4346420000; Space Invader PA_0750, 4 rue du Sergent Bobillot; Space Invader PA_0750;PA_0750; PA;, 4 rue du Sergent Bobillot; 4 rue du Sergent Bobillot;
48.8686250000; 2.3669840000; Space Invader PA_0882, 29 boulevard Jules Ferry; Space Invader PA_0882;PA_0882; PA;, 29 boulevard Jules Ferry; 29 boulevard Jules Ferry;
48.8518100000; 2.3337600000; Space Invader PA_0005, 25 rue Guisarde; Space Invader PA_0005;PA_0005; PA;, 25 rue Guisarde; 25 rue Guisarde;
48.8594080000; 2.3828700000; Space Invader PA_0852, 10 rue Saint-Maur; Space Invader PA_0852;PA_0852; PA;, 10 rue Saint-Maur; 10 rue Saint-Maur;
48.8623640000; 2.3637230000; Space Invader PA_0820, 10 rue de Bretagne; Space Invader PA_0820;PA_0820; PA;, 10 rue de Bretagne; 10 rue de Bretagne;
48.8727100000; 2.3961040000; Space Invader PA_0737, 21 rue Charles Frédel; Space Invader PA_0737;PA_0737; PA;, 21 rue Charles Frédel; 21 rue Charles Frédel;
48.9004350000; 2.3872330000; Space Invader PA_0895, place Auguste Baron; Space Invader PA_0895;PA_0895; PA;, place Auguste Baron; place Auguste Baron;
48.8577830000; 2.3809890000; Space Invader PA_0999, 136 rue de la Roquette; Space Invader PA_0999;PA_0999; PA;, 136 rue de la Roquette; 136 rue de la Roquette;
48.8445880000; 2.3689760000; Space Invader PA_0957, 86 Quai de la Rapée; Space Invader PA_0957;PA_0957; PA;, 86 Quai de la Rapée; 86 Quai de la Rapée;
48.8771800000; 2.2922600000; Space Invader PA_0664, 31 rue des Acacias; Space Invader PA_0664;PA_0664; PA;, 31 rue des Acacias; 31 rue des Acacias;
48.8544430000; 2.3310970000; Space Invader PA_0798, 184 boulevard Saint-Germain; Space Invader PA_0798;PA_0798; PA;, 184 boulevard Saint-Germain; 184 boulevard Saint-Germain;
48.8609600000; 2.3627500000; Space Invader PA_0032, 108 rue Vieille du Temple; Space Invader PA_0032;PA_0032; PA;, 108 rue Vieille du Temple; 108 rue Vieille du Temple;
48.8583700000; 2.3987400000; Space Invader PA_0834  PA_0835 (disparu), entrée du Père Lachaise; Space Invader PA_0834;PA_0834; PA;  PA_0835 (disparu), entrée du Père Lachaise;  PA_0835 (disparu), entrée du Père Lachaise;X
48.8539310000; 2.3369170000; Space Invader PA_1059, 54 rue de Seine; Space Invader PA_1059;PA_1059; PA;, 54 rue de Seine; 54 rue de Seine;
48.8524720000; 2.2679520000; Space Invader PA_0695, 1 rue Jasmin; Space Invader PA_0695;PA_0695; PA;, 1 rue Jasmin; 1 rue Jasmin;
48.8551520000; 2.3396230000; Space Invader PA_1051, 22 rue Dauphine; Space Invader PA_1051;PA_1051; PA;, 22 rue Dauphine; 22 rue Dauphine;
48.8369810000; 2.3900120000; Space Invader PA_0923, face au 36 rue Coriolis; Space Invader PA_0923;PA_0923; PA;, face au 36 rue Coriolis; face au 36 rue Coriolis;
48.8361810000; 2.3922060000; Space Invader PA_0958, 255 rue de Charenton; Space Invader PA_0958;PA_0958; PA;, 255 rue de Charenton; 255 rue de Charenton;
48.8797240000; 2.4006060000; Space Invader PA_0645, rue Charles Monselet; Space Invader PA_0645;PA_0645; PA;, rue Charles Monselet; rue Charles Monselet;
48.8713720000; 2.3098270000; Space Invader PA_0653, 3 rue du Colisée; Space Invader PA_0653;PA_0653; PA;, 3 rue du Colisée; 3 rue du Colisée;
48.8668700000; 2.3365510000; Space Invader PA_1058, 24 rue des Petits Champs; Space Invader PA_1058;PA_1058; PA;, 24 rue des Petits Champs; 24 rue des Petits Champs;
48.9154280000; 2.3574630000; Space Invader PA_0912, pont de Soissons; Space Invader PA_0912;PA_0912; PA;, pont de Soissons; pont de Soissons;
48.8528950000; 2.2864300000; Space Invader PA_0666, face au 29 quai de grenelle; Space Invader PA_0666;PA_0666; PA;, face au 29 quai de grenelle; face au 29 quai de grenelle;
48.8783880000; 2.3230060000; Space Invader PA_0484, 24 rue de Vienne; Space Invader PA_0484;PA_0484; PA;, 24 rue de Vienne; 24 rue de Vienne;
